verbose,min_data_in_leaf,objective,metric,num_leaves,boosting,n_estimators,tree_learner,max_bin,min_data_in_bin,max_depth,learning_rate,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,n_jobs,seed,bagging_freq,is_unbalance,early_stopping_rounds,device_type,roc_auc
-1,100,binary,auc,97,gbdt,1824,feature,828,3,0,0.04463569944295531,0.1,1.0,0.0,687.8468218963783,-1,55,47,True,141,cpu,0.5
-1,87,binary,auc,66,gbdt,2000,serial,855,2,40,0.04909772297511984,0.15362385808969908,1.0,457.87834996417365,561.2566433722226,-1,100,65,True,1,cpu,0.5
-1,5,binary,auc,100,gbdt,825,serial,176,12,18,0.10354924514642833,0.823946057145422,0.7714034234522479,36.20299678046888,635.5319244950152,-1,100,57,False,903,cpu,0.998689813298395
-1,54,binary,auc,56,gbdt,637,voting,20,2,0,0.0001,0.8653820171277508,0.9664420249222291,0.0,0.0,-1,100,0,False,1000,cpu,0.9872256796593515
-1,100,binary,auc,20,gbdt,100,data,783,13,0,0.0001,1.0,1.0,181.7288615845425,150.46406716622428,-1,66,0,False,813,cpu,0.5
-1,75,binary,auc,57,gbdt,100,serial,1000,20,0,0.0001,1.0,0.5397821148770998,0.0,0.0,-1,0,0,False,1000,cpu,0.9893547330494595
-1,95,binary,auc,100,gbdt,100,feature,301,4,38,0.0001,1.0,0.7931225803379991,0.0,0.0,-1,0,16,False,471,cpu,0.9867343596462497
-1,99,binary,auc,77,gbdt,100,data,134,1,0,0.2521904757931462,0.24064927723620377,0.7131270093775824,462.84972301206096,0.0,-1,0,0,False,1000,cpu,0.5
-1,100,binary,auc,59,gbdt,100,serial,730,1,39,0.0001,1.0,0.8854022984231982,0.0,725.0197003635976,-1,16,0,False,1000,cpu,0.9708483458892893
-1,48,binary,auc,58,gbdt,1612,data,597,1,27,0.0001,0.9778194167079841,1.0,0.0,662.3062735894931,-1,0,0,False,1000,cpu,0.8971503439240094
-1,27,binary,auc,100,gbdt,100,voting,623,3,49,0.0001,0.29670490774436475,1.0,727.2707715182081,431.18523848458153,-1,74,0,False,1000,cpu,0.5
-1,29,binary,auc,54,gbdt,1632,feature,783,18,29,0.03779168326334932,1.0,1.0,0.0,499.48083590420777,-1,16,63,False,1000,cpu,0.99737962659679
-1,93,binary,auc,100,gbdt,2000,serial,414,18,43,0.0001,1.0,0.7553959946919443,575.920063571606,1000.0,-1,92,28,False,202,cpu,0.5
-1,100,binary,auc,20,gbdt,1444,serial,109,2,50,0.0001,1.0,1.0,391.0000589019957,441.20025706682566,-1,0,33,False,680,cpu,0.5
-1,5,binary,auc,100,gbdt,327,feature,760,20,50,0.0001,0.4692859947390765,1.0,144.45793856293676,898.1120304125332,-1,97,99,False,1000,cpu,0.5
